DATE,MINTEMP,MAXTEMP,RAINFALL
19/05/2014,18.5,30.5,0
20/05/2014,18.6,30.7,0
21/05/2014,18.1,31.4,0
22/05/2014,18.1,30.4,0
23/05/2014,17.8,30.2,0
24/05/2014,17.7,30.7,0
25/05/2014,19,27.4,2.6
26/05/2014,15.8,27.8,0
27/05/2014,16.6,30.6,0
28/05/2014,15.4,29.5,0
29/05/2014,15.4,29,0
30/05/2014,14.2,29.4,0
31/05/2014,13.7,27.9,0
1/06/2014,11.7,28.3,0
2/06/2014,13.2,29.1,0
3/06/2014,12.1,29.1,0
4/06/2014,13.4,29.6,0
5/06/2014,16.4,28.3,0
6/06/2014,16,27.4,0
7/06/2014,14.7,28.5,0
8/06/2014,17.3,26.7,0
9/06/2014,15.7,25.2,0
10/06/2014,18.9,25.2,0
11/06/2014,15.6,29.3,0
12/06/2014,15.4,26.3,0
13/06/2014,14.5,24.7,0
14/06/2014,12.9,24.5,0
15/06/2014,11.9,25,0
16/06/2014,11.8,23.2,0
17/06/2014,9,23.9,0
18/06/2014,12.1,26.9,0
19/06/2014,11,27.3,0
20/06/2014,10.8,26.2,0
21/06/2014,10.6,26.4,0
22/06/2014,14.6,27.4,0
23/06/2014,17.1,22,2.4
24/06/2014,17.1,26,0.6
25/06/2014,16.2,27.6,0
26/06/2014,14.9,27.2,0
27/06/2014,15.4,29.1,0
28/06/2014,17.4,25.5,0
29/06/2014,14.3,23,0
30/06/2014,11,24,0
